"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_011E","S1903_C01_011M","S1903_C02_011E","S1903_C02_011M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M",
"Geography","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"8600000US94102","ZCTA5 94102","17135","474","29456","3197","48.7","2.8","42101","8742","11.9","1.8","15705","3016","0.6","0.3","12279","10146","28.9","2.4","25260","6493","0.4","0.4","-","**","6.4","1.4","26261","3823","3.0","0.8","21094","15099","15.1","2.1","27464","3804","41.0","2.7","46777","9016","3.6","1.0","26875","8552","37.3","2.2","71597","8630","37.9","2.6","21663","2863","21.2","2.1","18677","1035","4221","407","42623","11225","30.8","5.3","38896","13338","69.2","5.3","49375","17123","61.5","6.1","47718","11918","28.5","6.0","34688","26640","9.9","3.6","42311","19609","12914","522","24291","3181","37.3","2.8","25500","7467","30.4","2.9","16609","3261","6.9","1.5","70972","21122","62.7","2.8","23944","3250","53.2","2.9","19167","4179","9.5","1.9","110556","35230","27.3","(X)","(X)","(X)","41.2","(X)","(X)","(X)","22.5","(X)","(X)","(X)",
"8600000US94103","ZCTA5 94103","13501","576","46140","5566","50.5","3.8","76802","11099","9.0","2.3","12108","2245","0.5","0.3","42857","23748","25.6","3.2","44566","10586","0.1","0.2","-","**","7.7","2.0","23029","8800","6.5","2.0","64921","18911","17.1","2.4","32309","9641","41.6","3.0","96199","18789","2.0","0.8","-","**","44.1","3.1","102653","4415","35.4","3.1","31975","11730","18.4","2.3","12235","587","4073","396","54068","9320","27.8","6.1","42364","12006","72.2","6.1","64608","24904","65.2","6.9","68250","34865","20.6","5.2","33694","18194","14.1","4.5","34265","17390","9428","524","40944","9198","34.7","4.3","21524","10711","26.9","3.9","13465","1992","7.8","2.4","124500","41262","65.3","4.3","46358","10590","50.8","4.4","27306","10407","14.6","2.8","136000","38491","28.4","(X)","(X)","(X)","40.9","(X)","(X)","(X)","22.9","(X)","(X)","(X)",
"8600000US94104","ZCTA5 94104","274","85","51500","31547","59.5","17.0","120129","84908","0.0","11.2","-","**","0.0","11.2","-","**","35.4","17.1","-","**","0.0","11.2","-","**","5.1","7.4","-","**","0.0","11.2","-","**","21.5","18.3","48789","4839","43.1","17.5","122069","99897","2.6","4.2","-","**","29.9","12.6","58929","17034","37.2","18.0","-","**","30.3","18.6","-","**","96","37","-","**","30.2","24.2","-","**","69.8","24.2","-","**","77.1","23.7","83333","45627","0.0","28.0","-","**","22.9","23.7","-","**","178","82","-","**","9.6","11.7","-","**","9.6","11.7","-","**","0.0","16.6","-","**","90.4","11.7","-","**","68.5","25.6","-","**","21.9","23.9","-","**","28.8","(X)","(X)","(X)","20.8","(X)","(X)","(X)","33.1","(X)","(X)","(X)",
"8600000US94105","ZCTA5 94105","4015","520","195165","42940","55.8","10.0","196344","56690","0.0","0.8","-","**","0.0","0.8","-","**","42.9","10.2","207514","123638","0.0","0.8","-","**","0.0","0.8","-","**","1.3","2.2","-","**","7.4","4.4","-","**","50.8","10.2","195825","55132","0.6","1.0","-","**","60.4","9.7","207736","53306","31.4","10.1","184360","83200","7.5","4.2","-","**","1261","430","250,000+","***","39.2","17.4","250,000+","***","60.8","17.4","250,000+","***","95.8","7.0","250,000+","***","4.2","7.0","-","**","0.0","2.5","-","**","2754","575","146594","39091","41.7","12.2","138841","30906","38.8","12.3","138125","20931","2.9","3.5","-","**","58.3","12.2","161653","69349","36.0","13.5","160403","117671","22.3","12.6","173338","108494","16.8","(X)","(X)","(X)","17.5","(X)","(X)","(X)","16.4","(X)","(X)","(X)",
"8600000US94107","ZCTA5 94107","13873","649","129152","12129","58.6","3.5","152100","11513","4.0","1.3","-","**","0.2","0.3","-","**","30.0","3.2","127831","16868","0.2","0.2","-","**","3.1","1.7","30960","20239","3.9","1.5","109916","20734","7.4","1.9","104327","73097","55.3","3.6","151973","15399","2.3","1.4","-","**","59.2","3.4","165178","10417","26.4","3.3","126423","13865","12.1","1.9","26512","6512","6399","556","154716","17172","39.3","4.7","157089","14635","60.7","4.7","144813","34337","76.1","4.9","177802","16362","16.3","4.2","36429","12965","7.7","3.1","146667","49929","7474","645","120143","12467","46.3","5.0","96787","13546","35.6","5.0","95037","19809","10.8","3.3","130385","52633","53.7","5.0","150699","26677","33.0","4.7","121404","16649","20.6","3.6","187130","29947","26.3","(X)","(X)","(X)","30.5","(X)","(X)","(X)","22.1","(X)","(X)","(X)",
"8600000US94108","ZCTA5 94108","8067","311","46218","5746","42.1","2.8","85774","12254","3.0","1.3","-","**","0.3","0.3","-","**","49.0","2.6","25637","6264","0.0","0.4","-","**","2.5","1.1","57159","53550","3.1","1.1","77885","46084","8.1","1.9","57256","24286","37.3","2.9","88654","11563","5.2","1.2","56313","22461","38.0","3.1","90827","13867","30.6","2.9","34023","9308","26.2","2.8","18014","1610","2722","213","39150","2907","24.5","4.3","39674","16698","75.5","4.3","38918","2736","80.5","4.1","41719","9662","10.9","3.9","31667","6375","8.5","3.0","19259","14430","5345","361","51188","8514","53.7","4.0","51178","8670","45.0","3.9","41058","9738","8.7","2.5","107917","21654","46.3","4.0","51250","18505","38.2","4.0","34292","16844","8.0","2.1","127083","85245","29.5","(X)","(X)","(X)","30.4","(X)","(X)","(X)","29.0","(X)","(X)","(X)",
"8600000US94109","ZCTA5 94109","33730","604","71043","5700","64.1","1.9","91559","5712","4.9","0.9","21822","12774","0.3","0.2","41042","28975","24.0","1.6","48604","7668","0.0","0.1","-","**","3.0","0.8","50813","9415","3.7","0.8","57052","10183","8.8","1.3","52804","7390","59.2","2.0","93212","6664","4.8","0.9","35536","20675","47.4","1.6","106089","7650","26.0","1.4","59899","9876","21.9","1.1","33026","4203","7916","525","100103","6722","19.9","2.9","83382","12952","80.1","2.9","103547","10764","81.4","3.3","118458","11082","10.8","2.7","49712","12374","7.8","2.5","58031","34834","25814","709","62949","3588","48.8","2.3","61801","5530","37.3","2.1","50793","3623","11.5","1.3","134107","23992","51.2","2.3","64052","4242","38.5","2.1","43947","5176","12.8","1.4","155333","15551","27.2","(X)","(X)","(X)","32.1","(X)","(X)","(X)","25.6","(X)","(X)","(X)",
"8600000US94110","ZCTA5 94110","28183","454","97563","4012","63.5","2.0","115070","8075","3.2","0.6","35577","7550","0.7","0.4","102760","64535","14.0","1.2","110789","17043","0.2","0.3","-","**","14.5","1.7","44396","6917","3.9","0.6","115688","9876","28.9","1.4","51429","6194","51.2","1.8","130864","5464","2.6","0.5","74904","35637","49.1","1.7","131898","6613","33.8","1.5","80595","8151","14.5","1.1","42188","4461","12736","533","94274","5866","39.8","2.3","101667","16114","60.2","2.3","92518","9549","71.5","2.5","129722","7763","17.9","2.1","39570","6961","10.6","1.8","62926","4950","15447","615","91331","7247","41.0","2.8","81823","12151","24.3","2.2","39635","8117","16.8","1.9","156042","15840","59.0","2.8","99226","12390","32.6","2.6","56523","9252","26.3","2.0","162895","23701","34.5","(X)","(X)","(X)","36.8","(X)","(X)","(X)","30.6","(X)","(X)","(X)",
"8600000US94111","ZCTA5 94111","2118","164","104083","14413","61.9","5.5","131875","23784","2.2","2.2","220288","149567","0.8","1.5","-","**","28.9","5.7","-","**","0.6","0.9","-","**","0.0","1.5","-","**","5.5","3.2","143906","123759","5.8","3.7","229286","195631","56.8","5.8","126776","21520","2.6","2.3","2,500-","***","32.6","6.3","127639","32759","27.4","5.7","150179","50185","37.4","4.9","63500","18092","715","115","157434","58826","24.1","8.2","-","**","75.9","8.2","171576","47542","82.2","11.1","181111","94740","14.5","10.2","-","**","3.2","5.0","-","**","1403","175","93375","26127","47.2","7.5","74861","34441","43.5","7.7","82583","30217","3.6","4.0","2,500-","***","52.8","7.5","112396","38595","45.5","7.9","104609","49530","7.3","4.4","-","**","19.5","(X)","(X)","(X)","21.5","(X)","(X)","(X)","18.5","(X)","(X)","(X)",
