Year,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Brazzaville),Congo (Kinshasa),Costa Rica,Croatia,Cuba,Cyprus,Czechia,Denmark,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Eswatini,Ethiopia,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Guyana,Haiti,Honduras,Hong Kong S.A.R. of China,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,Somalia,Somaliland region,South Africa,South Korea,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan Province of China,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkiye,Turkmenistan,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
2005,,,,,,,7.340688228607178,,,,,,7.262290477752685,,,,,,,6.636771202087402,,,,,,7.41804838180542,,,,,,,,,,,,,6.43925666809082,8.01893424987793,,,,5.167754173278809,,,,,,7.093392848968506,,,,6.619549751281738,,6.006309986114502,,,,,,,5.193933486938477,,,,5.30819034576416,,,,6.85378360748291,,,6.515817165374756,6.2946600914001465,,,,,,,,5.491245269775391,,,,,,,,,,,,,,6.580657958984375,,,,,,,,,7.463979244232178,,,,,,,,5.2246575355529785,,,,,5.587209224700928,,,5.048648357391357,,,7.079644203186035,,,,,,,,,,,,7.152785778045654,,,,,7.376315593719482,,,,,,,,,,4.718733787536621,,,,,6.983556747436523,,,,7.169620990753174,,,,
2006,,,,,6.312925338745117,4.289310932159424,,7.122211456298828,4.727870941162109,,4.318909168243408,5.657649993896484,,,3.329801559448242,,5.37398624420166,,4.7393670082092285,,,3.8014907836914062,,3.568744659423828,3.851072072982788,,,3.434800624847412,6.062851905822754,4.560495376586914,6.024942874908447,,,,7.082465171813965,,5.417868614196777,6.2379584312438965,,,,5.087967872619629,5.024191379547119,,5.700929641723633,5.371054649353027,,,7.672449111938477,6.582700252532959,,,3.675108432769776,,4.535019874572754,,5.901429176330566,,,3.7541561126708975,5.396519660949707,5.511187076568604,,,5.348258972167969,4.946978092193604,,,7.144246578216553,7.173417091369629,,,6.207881927490234,,,5.475948333740234,4.223234176635742,,6.075547218322754,4.641398906707764,5.076225757598877,4.709502220153809,4.653103828430176,,,,5.954442977905273,,3.9797513484954834,3.829868078231812,6.011716842651367,,4.014075756072998,,,,,5.102071285247803,,,,4.594879627227783,,,4.56659460067749,,7.305014133453369,4.460158348083496,3.7369518280029297,4.70974588394165,,7.415682315826416,,,6.127988338470459,4.730082035064697,4.810845375061035,4.66994571685791,,5.405246257781982,,,4.963742733001709,4.214703559875488,,4.417352676391602,,3.6281850337982178,6.462702751159668,5.264676570892334,5.811264514923096,,,5.083986759185791,5.332177639007568,,,4.344610691070557,4.716387748718262,,,,7.473252773284912,,6.189050197601318,4.613099098205566,3.922484159469605,5.885432720184326,3.2024292945861816,5.832188606262207,,,,3.733583927154541,4.803954124450684,6.734221935272217,,7.181793689727783,5.785868167877197,5.232322216033936,6.525146007537842,5.293659687042236,,4.824454784393311,3.826268434524536
2007,,4.634251594543457,,,6.073158264160156,4.881515502929688,7.285390853881836,,4.568159580230713,,4.607322216033936,5.616976261138916,7.218839645385742,6.450644493103027,,,5.628419399261475,4.899806976318359,,6.320672988891602,3.8437979221344,4.017130374908447,,4.155971050262451,4.349939346313477,7.481752872467041,4.160129547119141,4.141326904296875,5.697929859161377,4.86286211013794,6.138411521911621,,,,7.432132244110107,5.8209075927734375,,,6.500194072723389,7.834233283996582,,5.081305980682373,4.995875358581543,5.540510654449463,5.295535087585449,5.332044124603272,,,,,,,3.707194566726685,6.4168195724487305,5.220148086547852,6.646961212158203,6.329581260681152,,5.992826461791992,,5.097154140472412,,4.953917026519775,,5.026793479919434,5.1012139320373535,5.336371421813965,,,6.8411149978637695,6.574412345886231,,,6.2381978034973145,5.598057270050049,5.71855354309082,4.575657844543457,5.103906154632568,,4.697761535644531,5.363854885101318,4.666971683502197,,,3.701401233673096,,5.808284759521484,,,4.891036510467529,6.238904476165772,,,,4.149043083190918,,6.525378227233887,4.774918079376221,4.6090593338012695,5.196315288543701,,4.832634925842285,,4.885587215423584,4.748284339904785,7.451879501342773,7.604173183441162,4.944090843200684,4.277402400970459,4.890419483184815,4.493598461151123,,,5.6714606285095215,6.894139766693115,5.272461414337158,5.213962078094482,5.073562145233154,5.88613748550415,,,5.393723964691162,5.222867488861084,,7.266694068908691,4.679986953735352,4.7503838539123535,3.585127353668213,6.833754539489746,,,,,5.20445442199707,5.767275810241699,,6.994614601135254,4.4148054122924805,4.1510539054870605,,,7.241362571716309,,,,4.4316086769104,4.317949771881104,5.783891201019287,,,,5.623471736907959,,4.455838680267334,5.252181529998779,,6.801930904388428,7.512687683105469,5.69394588470459,,,5.421687602996826,4.477132797241211,3.998293161392212,3.2802467346191406
2008,3.7235898971557617,,,,5.961034297943115,4.65197229385376,7.253757476806641,7.180953979492188,4.8171892166137695,,5.052278518676758,5.463332176208496,7.116590976715088,,3.6671395301818848,,5.297872543334961,,5.451147079467773,6.69142484664917,,3.8464388847351074,3.563227653503418,4.462163925170898,4.291800498962402,7.4856038093566895,,4.632468223571777,5.789438724517822,4.84629487991333,6.168395042419434,,3.8197922706604,,6.850679874420166,,,,,7.970891952514648,5.0093302726745605,4.842305660247803,5.296513080596924,4.631741046905518,5.191493988037109,5.451937675476074,,,7.670626640319824,7.0080647468566895,,,4.156090259552002,6.521790027618408,4.965134620666504,,6.414494514465332,,,3.8463292121887207,5.420331001281738,5.137261867523193,,6.888284206390381,5.145833015441895,4.815309524536133,5.128988265991211,4.589844703674316,7.568029880523682,7.261261463165283,6.779774188995361,,,5.910679340362549,4.930058002471924,5.886419773101807,4.015274524688721,5.521659851074219,,4.736588001251221,5.044098854064941,5.14537525177002,4.594851016998291,,4.221354007720947,,5.55392599105835,,4.640079021453857,,5.806781768798828,,4.114664077758789,,4.248075008392334,,6.829036235809326,5.502756118774414,4.4930100440979,,,4.65358304977417,,,4.440526485443115,7.631011962890625,7.381170749664307,5.103827476501465,4.235657215118408,4.938560485839844,,7.632287502288818,,4.413918972015381,6.930903434753418,5.570061683654785,5.129230976104736,4.589065074920654,,5.71696662902832,,,5.618753910064697,4.3629889488220215,6.811370372772217,4.683499813079834,,2.997251033782959,6.641956806182861,,,,,5.346306800842285,5.38962459564209,,7.294472694396973,4.430846214294434,4.385603427886963,,,7.515997409820557,,5.3233323097229,5.547682285308838,5.063986778259277,4.38474178314209,5.636471271514893,2.807855129241944,6.696444034576416,,5.118231773376465,,4.568619251251221,5.172380447387695,,6.98646354675293,7.280385971069336,5.663869857788086,5.311368465423584,6.2577714920043945,5.480425357818604,,4.730263233184815,3.1742637157440186
2009,4.401778221130371,5.485469818115234,,,6.42413330078125,4.177581787109375,,,4.57372522354126,5.700523376464844,5.082851409912109,5.564131259918213,,,,,6.0855793952941895,4.96347713470459,,7.000831604003906,,,3.791680812835693,4.110625743865967,4.741408348083496,7.487824440002441,,3.6394450664520255,6.493686199188232,4.454360961914063,6.271604537963867,3.476027250289917,,3.983848571777344,7.614928722381592,5.433319568634033,,6.83347749710083,,7.683358669281006,4.905925273895264,5.431613922119141,6.021803379058838,5.066164493560791,6.839087009429932,5.1377387046813965,,,,6.283498287200928,,,3.800639152526856,6.641493320465088,4.197695732116699,6.038574695587158,6.451916217803955,,,,6.033189296722412,5.397055625915527,4.89460039138794,,4.521517753601074,5.472361087799072,,4.775316715240479,7.045911312103272,7.352979183197021,6.333800315856934,4.197181701660156,,5.844999313354492,5.99985933303833,5.38256311416626,4.270434856414795,5.891432762145996,6.5852460861206055,5.069053649902344,,4.668910503387451,5.20599889755249,,,,5.466920852661133,6.957920074462891,,5.148239612579346,5.384701728820801,,3.976598501205444,6.327639579772949,4.500431537628174,,6.9628190994262695,5.5543742179870605,,4.801060199737549,,,,,4.916868209838867,,,5.352804660797119,4.267169952392578,4.980220317840576,4.4280219078063965,,,5.208146572113037,7.033740043640137,5.576147079467773,5.5188469886779785,4.879910945892334,5.772027492523193,,6.4178242683410645,5.367565155029297,5.158227920532227,4.029761791229248,6.147590160369873,4.335114002227783,4.380311965942383,,6.144676685333252,,5.830160617828369,,4.991399765014648,5.218430995941162,5.6476898193359375,,6.198601245880127,4.212026596069336,4.470191478729248,4.4549174308776855,,7.265977382659912,7.524520874023437,4.978970527648926,,4.575174808502197,3.40750789642334,5.475645065307617,,,5.02547025680542,5.212841510772705,6.567713260650635,4.611985683441162,5.165639400482178,6.866062641143799,6.9065470695495605,7.158032417297363,6.296222686767578,5.260720729827881,7.188803195953369,5.304264545440674,4.809258937835693,5.2603607177734375,4.055914402008057
2010,4.758380889892578,5.268936634063721,5.463566780090332,,6.441067218780518,4.36781120300293,7.450047016143799,7.30267858505249,4.218610763549805,5.936869144439697,4.858481407165527,5.525923252105713,6.853514194488525,,,,5.780620098114014,4.668517589569092,3.5530202388763428,6.837331295013428,3.912276268005371,4.035560607910156,,4.1410722732543945,4.554256916046143,7.650346279144287,3.567892551422119,3.742871046066284,6.635655879974365,4.652736663818359,6.408113479614258,3.812191009521485,,,7.271053791046143,5.595575332641602,,6.3865461349487305,6.249617576599121,7.770515441894531,5.005810737609863,4.735021114349365,5.8380513191223145,4.66891622543335,6.739911079406738,,,,7.393264293670654,6.797901153564453,,,4.101837158203125,6.724531173706055,4.6062517166137695,5.8395586013793945,6.289748668670654,,,3.7659988403320312,5.86613130569458,5.642834663391113,4.725132465362549,,4.989277362823486,5.45729923248291,,5.065462112426758,7.257389545440674,7.358916282653809,6.354238033294678,,,6.056752681732178,5.569942474365234,5.514286518096924,4.255859375,5.176601409912109,6.798151016235352,4.996410846710205,,,5.031899452209473,,4.196063041687012,,5.06582498550415,7.097251892089844,,,5.580281734466553,,3.7623050212860103,5.773874759674072,4.7723069190979,,6.802388668060303,5.589736461639404,4.58552360534668,5.45503044128418,4.383247375488281,,,,4.349675178527832,7.501875877380371,7.223756313323975,5.686699390411377,4.101016044616699,4.760275840759277,4.180202007293701,,,5.7861328125,7.321467399597168,5.841174125671387,5.612785339355469,4.941514015197754,5.887029647827148,5.0945258140563965,6.8496527671813965,4.909165859222412,5.384773254394531,,6.307098388671875,4.372156143188477,4.461304187774658,4.133955955505371,6.531401634216309,6.052223205566406,6.082555294036865,,4.657363414764404,4.65242862701416,6.116024494171143,,6.188262462615967,3.976905107498169,4.702603816986084,4.435159683227539,,7.496018886566162,,4.464707851409912,6.228530883789063,4.380636215209961,3.2291290760040283,6.216702938079834,,,5.130520820617676,5.490347385406494,,4.192882061004639,5.05756139755249,7.0974555015563965,7.029364109039307,7.163616180419922,6.062010765075684,5.09534215927124,7.47845458984375,5.295780658721924,4.35031270980835,,4.681569576263428
2011,3.831719160079956,5.867421627044678,5.31719446182251,5.589000701904297,6.775805473327637,4.260491371154785,7.405616283416748,7.470512866973877,4.680469512939453,4.823976039886475,4.985649108886719,5.225307941436768,7.111363887786865,,3.870279550552368,,5.778874397277832,4.994670867919922,3.519921064376831,7.037816524505615,3.875382423400879,4.785367488861084,3.7058942317962646,4.161225318908691,4.433885097503662,7.426053524017334,3.677826404571533,4.393482208251953,6.526334762573242,5.03720760345459,6.463952541351318,3.8384859561920166,4.509824275970459,4.516963958740234,7.228888511657715,5.385372638702393,,6.689608573913574,6.331490993499756,7.78823184967041,4.3691935539245605,5.396535396575928,5.795088291168213,4.174158573150635,4.741294860839844,5.486819744110107,4.867091178894043,,7.354225158691406,6.959185123443604,4.255400657653809,,4.203030586242676,6.621312141418457,5.608199596405029,5.372039794921875,5.743353843688965,4.044569492340088,,4.844573974609375,4.961031436920166,5.474010944366455,4.9176025390625,,4.634871482849121,5.172608375549316,4.767507076263428,4.725366115570068,7.006904125213623,7.43314790725708,6.05708646774292,,5.374446392059326,6.26279354095459,5.539327621459961,5.735662937164307,4.405310153961182,4.859501838684082,6.377699375152588,4.921049118041992,4.703749656677246,4.966811656951904,5.1875715255737305,4.897514820098877,,,5.432437419891357,7.101400375366211,4.381415367126465,3.9460625648498535,5.786367416381836,,4.66683292388916,6.154718399047852,4.784804344177246,5.477073192596436,6.909515380859375,5.792262554168701,5.031173706054688,5.223116874694824,5.084972858428955,4.97111177444458,,,3.8094446659088135,7.563797950744629,7.190638065338135,5.385705471038818,4.5558295249938965,,4.89818000793457,,6.852982044219971,5.267186164855957,7.248080730438232,5.677080631256104,5.892457485198975,4.993956565856934,5.646204948425293,5.219997882843018,6.591604232788086,5.022757530212402,5.388766288757324,4.09743595123291,6.699789524078369,3.8342015743255615,4.815186500549316,4.501643657684326,6.561041831970215,5.945048332214356,6.035964012145996,,4.930571556091309,4.930511474609375,6.946599006652832,,6.518249034881592,4.180569171905518,4.751219749450684,4.314456462860107,,7.382232189178467,,4.03788948059082,6.308915138244629,4.26267147064209,4.073562145233154,6.663609027862549,2.93622088432312,6.51874589920044,4.876482009887695,5.271944046020508,5.791754722595215,4.826001167297363,5.083132743835449,7.118701457977295,6.869248867034912,7.115138530731201,6.554047107696533,5.738744258880615,6.579789161682129,5.7673444747924805,3.74625563621521,4.9991135597229,4.845641613006592
2012,3.782937526702881,5.510124206542969,5.60459566116333,4.360249996185303,6.468387126922607,4.319711685180664,7.19558572769165,7.400688648223877,4.91077184677124,5.027186870574951,4.724443912506104,5.7490434646606445,6.935122013092041,,3.193468809127808,,6.018894672393799,4.773144721984863,4.835938930511475,6.660003662109375,4.222297191619873,3.955008029937744,,3.8987069129943848,4.24463415145874,7.415144443511963,,4.032974720001221,6.599128723144531,5.094917297363281,6.374879837036133,3.9556403160095215,3.919341802597046,4.639227390289307,7.272250175476074,6.027634620666504,,6.180507183074951,6.334149360656738,7.519909381866455,,4.7533111572265625,5.960716247558594,4.204156875610352,5.934371471405029,5.363927841186523,,4.561168670654297,7.4202094078063965,6.649365425109863,3.9720592498779297,,4.254445552825928,6.702362060546875,5.057261943817139,5.096354007720947,5.855717182159424,3.651554822921753,,4.413475036621094,4.602218151092529,5.4837646484375,4.683358192443848,7.590660095214844,4.720146656036377,5.36777400970459,4.6089277267456055,4.65950870513916,6.964645385742188,7.110854625701904,5.839313983917236,,,5.968216419219971,5.131996154785156,5.759469509124756,4.547335147857666,5.639588356018066,6.221094608306885,5.207785606384277,4.876084804534912,5.125025272369385,4.572566986083984,,,5.754394054412842,5.7710371017456055,6.964097023010254,3.550609588623047,4.279269695281982,5.914283752441406,,4.313016891479492,5.96287202835083,4.673203945159912,,7.32018518447876,5.995712757110596,4.88515043258667,5.218724250793457,4.969656467437744,,4.438939571380615,,4.233244895935059,7.470715522766113,7.249629974365234,5.4480061531066895,3.798088312149048,5.492954254150391,4.639647483825684,7.678277015686035,,5.131565093994141,6.859835624694824,5.820058345794678,5.824557304382324,5.001965045928955,5.875931739807129,4.993962287902832,6.611298561096191,5.166874885559082,5.6207356452941895,3.333047866821289,6.396359443664551,3.668736934661865,5.154521942138672,,,5.911059379577637,6.062891006469727,,5.057314395904541,5.133887767791748,6.003286838531494,,6.2906904220581055,4.224593162536621,4.646608352661133,4.550499439239502,6.269286632537842,7.560147762298584,7.776208877563477,3.1644911766052246,6.125916957855225,4.49657154083252,4.006897449493408,6.300235271453857,,,4.463531017303467,5.309076309204102,5.463827133178711,4.309237957000732,5.030342102050781,7.217766761779785,6.880784034729004,7.026226997375488,6.449728488922119,6.019331932067871,7.066577434539795,5.53456974029541,4.060600757598877,5.01337480545044,4.955100536346436
2013,3.5721004009246826,4.550647735595703,,3.9371068477630615,6.5822601318359375,4.277191162109375,7.364169120788574,7.498802661895752,5.481178283691406,6.689711093902588,4.660161018371582,5.876466274261475,7.103661060333252,,3.479412794113159,5.569091796875,5.767428874969482,5.123664379119873,4.128298759460449,7.14028263092041,3.993020534515381,3.3259496688842773,,3.674466848373413,4.271038055419922,7.593793869018555,,3.5076630115509038,6.740153789520264,5.241090297698975,6.606550693511963,,3.9549505710601807,4.497477054595947,7.158000469207764,5.885462760925293,,5.438952445983887,6.69765567779541,7.588606834411621,,5.015515327453613,6.0192060470581055,3.5585203170776367,6.325063228607178,5.367445945739746,,4.444827079772949,7.44463586807251,6.667121410369873,3.8002870082855225,,4.348920822143555,6.96512508392334,4.965053081512451,4.720251083374023,5.9846014976501465,3.9017930030822754,,4.621962070465088,4.713358402252197,,4.914466857910156,7.501394271850586,4.427788734436035,5.292237758636475,5.1395792961120605,4.725017070770264,6.760085105895996,7.320563316345215,6.009373664855957,3.739365577697754,5.708886623382568,5.959361553192139,5.171952724456787,5.835483074188232,3.7953832149505615,6.125758171081543,6.4800310134887695,5.402426719665527,,5.069770336151123,4.983288764953613,,,,5.595689296722412,7.130809307098389,3.815607070922852,4.035084247589111,5.770199775695801,,3.6762771606445312,6.379924774169922,4.199015140533447,,7.442546367645264,5.756059169769287,4.912928104400635,5.074341773986816,5.142160415649414,,4.175670623779297,,4.604576587677002,7.406550407409668,7.280151844024658,5.772274971008301,3.71632981300354,4.817868709564209,5.186190605163574,,,5.138082504272461,6.866480350494385,5.9362406730651855,5.782557487487793,4.976925373077393,5.746131896972656,5.157688140869141,,5.081584453582764,5.537177562713623,3.4663877487182617,6.495132923126221,3.647367000579834,5.101840496063232,4.514291286468506,6.533206939697266,5.936527252197266,5.974888801574707,,,3.660727262496948,5.958809852600098,,6.150027275085449,4.364694118499756,4.844027996063232,,,7.434010505676269,,2.6875529289245605,6.340344429016113,4.966521263122559,3.852394819259644,6.231024742126465,,6.1677069664001465,5.245604991912842,4.888177394866943,5.391762733459473,3.7095787525177,4.7108025550842285,6.620951175689697,6.918055057525635,7.249285221099853,6.444464683532715,5.939986228942871,6.552796363830566,5.022698879241943,4.217678546905518,5.243995666503906,4.690187931060791
2014,3.1308956146240234,4.81376314163208,6.354898452758789,3.794837951660156,6.671114444732666,4.453083038330078,7.28855037689209,6.949999809265137,5.251530170440674,6.165133953094482,4.635564804077148,5.812400817871094,6.855329036712647,5.955646514892578,3.347419261932373,4.938578128814697,5.864798545837402,5.2489542961120605,4.03119707107544,6.980998992919922,4.438439846038818,3.4813477993011475,2.9045350551605225,3.883305549621582,4.24044132232666,7.304257869720459,,3.460182905197144,6.84423828125,5.195619106292725,6.448789119720459,,4.056012630462647,4.414299964904785,7.247086048126221,5.380692481994629,,5.627123832702637,6.483729839324951,7.507559299468994,,5.387331962585449,5.945851802825928,4.885072708129883,5.856523513793945,5.55598258972168,,4.506646633148193,7.384571075439453,6.466867923736572,3.9180731773376474,,4.287508010864258,6.9842143058776855,3.860351085662842,4.756237030029297,6.5360307693481445,3.412482500076294,,3.8887784481048575,5.055726051330566,5.458050727844238,5.180563449859619,,4.424379348754883,5.597375392913818,4.682224273681641,4.541502475738525,7.018379211425781,7.400570392608643,6.026585102081299,3.570368528366089,5.310538768768311,5.92262077331543,5.333021640777588,5.970097541809082,4.904579639434815,5.000375270843506,6.18013858795166,5.252192974090576,,5.72911548614502,5.233025550842285,,4.5714192390441895,,6.125723838806152,6.891127109527588,3.675626993179321,4.563080310821533,5.962921619415283,,3.9747142791748047,6.452117919921875,4.482805252075195,5.647779941558838,6.679831027984619,5.91705846786499,4.824834823608398,5.282720565795898,,,4.786247253417969,4.573991298675537,4.975014686584473,7.321188449859619,7.305892467498779,6.275266647338867,4.180943489074707,,5.203825950622559,7.4444708824157715,,5.435657978057861,6.631171226501465,5.11864185333252,5.86581563949585,5.312550067901611,5.750282287597656,5.126911640167236,,5.726893424987793,6.03697681427002,3.595678329467773,6.278378009796143,4.394777297973633,5.112728595733643,4.499970436096191,7.06236457824707,6.138873100280762,5.6783952713012695,5.52827262878418,,4.828456401824951,5.80132532119751,3.8319923877716064,6.456477642059326,4.267932891845703,4.721938133239746,4.138672828674316,,7.239147663116455,7.492803573608398,,6.363496780395508,4.896157741546631,3.483278512954712,6.985463619232178,2.838958740234375,,4.763594627380371,5.579794406890869,5.787379264831543,3.7699191570281982,4.297329902648926,6.539854526519775,6.758147716522217,7.151114463806152,6.56144380569458,6.049212455749512,6.136096477508545,5.084923267364502,3.9679579734802246,4.345837116241455,4.184450626373291
