,country,continent,region,country_lower
0,Andorra,Europe,Western Europe,andorra
1,United Arab Emirates,Asia,West Asia,united arab emirates
2,Afghanistan,Asia,South Asia,afghanistan
3,Antigua and Barbuda,Americas,Caribbean,antigua and barbuda
4,Anguilla,Americas,Caribbean,anguilla
5,,,,
6,Albania,Europe,Eastern Europe,albania
7,Armenia,Asia,West Asia,armenia
8,Netherlands Antilles,Americas,Caribbean,netherlands antilles
9,Angola,Africa,Middle Africa,angola
10,Argentina,Americas,South America,argentina
11,American Samoa,Oceania,Oceania (excl. Australia and New Zealand),american samoa
12,Austria,Europe,Western Europe,austria
13,Australia,Oceania,Australia and New Zealand,australia
14,Aruba,Americas,Caribbean,aruba
15,Azerbaijan,Asia,West Asia,azerbaijan
16,Bosnia and Herzegovina,Europe,Eastern Europe,bosnia and herzegovina
17,Barbados,Americas,Caribbean,barbados
18,Bangladesh,Asia,South Asia,bangladesh
19,Belgium,Europe,Western Europe,belgium
20,Burkina Faso,Africa,West Africa,burkina faso
21,Bulgaria,Europe,Eastern Europe,bulgaria
22,Bahrain,Asia,West Asia,bahrain
23,Burundi,Africa,East Africa,burundi
24,Benin,Africa,West Africa,benin
25,Saint Barthelemy,Americas,Caribbean,saint barthelemy
26,Bermuda,Americas,North America,bermuda
27,Brunei Darussalam,Asia,South-East Asia,brunei darussalam
28,Bolivia,Americas,South America,bolivia
29,"Bonaire, Sint Eustatius and Saba",Americas,Caribbean,"bonaire, sint eustatius and saba"
30,Brazil,Americas,South America,brazil
31,Bahamas,Americas,Caribbean,bahamas
32,Bhutan,Asia,South Asia,bhutan
33,Botswana,Africa,South Africa,botswana
34,Belarus,Asia,West Asia,belarus
35,Belize,Americas,Central America,belize
36,Canada,Americas,North America,canada
37,DR Congo,Africa,Middle Africa,dr congo
38,Central African Republic,Africa,Middle Africa,central african republic
39,Congo,Africa,Middle Africa,congo
40,Switzerland,Europe,Western Europe,switzerland
41,Cote d'Ivoire,Africa,West Africa,cote d'ivoire
42,Cook Islands,Oceania,Oceania (excl. Australia and New Zealand),cook islands
43,Chile,Americas,South America,chile
44,Cameroon,Africa,Middle Africa,cameroon
45,China,Asia,East Asia,china
46,Rural China,,,rural china
47,Urban China,,,urban china
48,Colombia,Americas,South America,colombia
49,Costa Rica,Americas,Central America,costa rica
50,Czechoslovakia,Europe,Eastern Europe,czechoslovakia
51,Cuba,Americas,Caribbean,cuba
52,Cabo Verde,Africa,West Africa,cabo verde
53,Curacao,Americas,Caribbean,curacao
54,Cyprus,Europe,Eastern Europe,cyprus
55,Czech Republic,Europe,Eastern Europe,czech republic
56,German Democratic Republic,Europe,Western Europe,german democratic republic
57,Germany,Europe,Western Europe,germany
58,Baden,,,baden
59,Bavaria,,,bavaria
60,Bremen,,,bremen
61,Hesse,,,hesse
62,Hamburg,,,hamburg
63,Prussia,,,prussia
64,Saxony,,,saxony
65,Wurttemberg,,,wurttemberg
66,Djibouti,Africa,East Africa,djibouti
67,Denmark,Europe,Western Europe,denmark
68,Dominica,Americas,Caribbean,dominica
69,Dominican Republic,Americas,Caribbean,dominican republic
70,Algeria,Africa,North Africa,algeria
71,Ecuador,Americas,South America,ecuador
72,Estonia,Europe,Eastern Europe,estonia
73,Egypt,Africa,North Africa,egypt
74,Western Sahara,Africa,North Africa,western sahara
75,Eritrea,Africa,East Africa,eritrea
76,Spain,Europe,Western Europe,spain
77,Ethiopia,Africa,East Africa,ethiopia
78,Finland,Europe,Western Europe,finland
79,Fiji,Oceania,Oceania (excl. Australia and New Zealand),fiji
80,Falkland Islands,Americas,South America,falkland islands
81,Micronesia,Oceania,Oceania (excl. Australia and New Zealand),micronesia
82,Faroe Islands,Europe,Western Europe,faroe islands
83,France,Europe,Western Europe,france
84,Gabon,Africa,Middle Africa,gabon
85,United Kingdom,Europe,Western Europe,united kingdom
86,Grenada,Americas,Caribbean,grenada
87,Georgia,Asia,West Asia,georgia
88,Guernsey,Europe,Western Europe,guernsey
89,Ghana,Africa,West Africa,ghana
90,Gibraltar,Europe,Western Europe,gibraltar
91,Greenland,Americas,North America,greenland
92,Gambia,Africa,West Africa,gambia
93,Guinea,Africa,West Africa,guinea
94,Equatorial Guinea,Africa,Middle Africa,equatorial guinea
95,Greece,Europe,Western Europe,greece
96,Guatemala,Americas,Central America,guatemala
97,Guam,Oceania,Oceania (excl. Australia and New Zealand),guam
98,Guinea-Bissau,Africa,West Africa,guinea-bissau
99,Guyana,Americas,South America,guyana
100,Hong Kong,Asia,East Asia,hong kong
101,Honduras,Americas,Central America,honduras
102,Croatia,Europe,Eastern Europe,croatia
103,Haiti,Americas,Caribbean,haiti
104,Hungary,Europe,Eastern Europe,hungary
105,Indonesia,Asia,South-East Asia,indonesia
106,Ireland,Europe,Western Europe,ireland
107,Israel,Asia,West Asia,israel
108,Isle of Man,Europe,Western Europe,isle of man
109,India,Asia,South Asia,india
110,Iraq,Asia,West Asia,iraq
111,Iran,Asia,South Asia,iran
112,Iceland,Europe,Western Europe,iceland
113,Italy,Europe,Western Europe,italy
114,Jersey,Europe,Western Europe,jersey
115,Jamaica,Americas,Caribbean,jamaica
116,Jordan,Asia,West Asia,jordan
117,Japan,Asia,East Asia,japan
118,Kenya,Africa,East Africa,kenya
119,Kyrgyzstan,Asia,Central Asia,kyrgyzstan
120,Cambodia,Asia,South-East Asia,cambodia
121,Kiribati,Oceania,Oceania (excl. Australia and New Zealand),kiribati
122,Comoros,Africa,East Africa,comoros
123,Saint Kitts and Nevis,Americas,Caribbean,saint kitts and nevis
124,North Korea,Asia,East Asia,north korea
125,Korea,Asia,East Asia,korea
126,Kosovo,Europe,Eastern Europe,kosovo
127,Kuwait,Asia,West Asia,kuwait
128,Cayman Islands,Americas,Caribbean,cayman islands
129,Kazakhstan,Asia,Central Asia,kazakhstan
130,Lao PDR,Asia,South-East Asia,lao pdr
131,Lebanon,Asia,West Asia,lebanon
132,Saint Lucia,Americas,Caribbean,saint lucia
133,Liechtenstein,Europe,Western Europe,liechtenstein
134,Sri Lanka,Asia,South Asia,sri lanka
135,Liberia,Africa,West Africa,liberia
136,Lesotho,Africa,South Africa,lesotho
137,Lithuania,Europe,Eastern Europe,lithuania
138,Luxembourg,Europe,Western Europe,luxembourg
139,Latvia,Europe,Eastern Europe,latvia
140,Libya,Africa,North Africa,libya
141,Morocco,Africa,North Africa,morocco
142,Monaco,Europe,Western Europe,monaco
143,Moldova,Europe,Eastern Europe,moldova
144,Montenegro,Europe,Eastern Europe,montenegro
145,Saint Martin (French part),Americas,Caribbean,saint martin (french part)
146,Madagascar,Africa,East Africa,madagascar
147,Marshall Islands,Oceania,Oceania (excl. Australia and New Zealand),marshall islands
148,North Macedonia,Europe,Eastern Europe,north macedonia
149,Mali,Africa,West Africa,mali
150,Myanmar,Asia,South-East Asia,myanmar
151,Mongolia,Asia,East Asia,mongolia
152,Macao,Asia,East Asia,macao
153,Northern Mariana Islands,Oceania,Oceania (excl. Australia and New Zealand),northern mariana islands
154,Mauritania,Africa,West Africa,mauritania
155,Montserrat,Americas,Caribbean,montserrat
156,Malta,Europe,Western Europe,malta
157,Mauritius,Africa,East Africa,mauritius
