"code","iso","country","COE.raw.2003","COE.raw.2004","COE.raw.2005","COE.raw.2006","COE.raw.2007","COE.raw.2008","COE.raw.2009","COE.raw.2010","COE.raw.2011","COE.raw.2012","COE.raw.2013","COE.raw.2014","COE.raw.2015","COE.raw.2016","COE.raw.2017","COE.raw.2018","COE.raw.2019"
4,"AFG","Afghanistan",0.183874335,0.177811245,0.189803334,0.185756236,0.193084227,0.184432704,0.183664791,0.180914231,0.175487183,0.195268631,0.189892712,0.183810616,0.188489486,0.190930845,0.195363841,0.183299554,0.198343095
8,"ALB","Albania",0.196819358,0.177135536,0.181439889,0.175444469,0.200594123,0.164149419,0.156721072,0.155990087,0.169202038,0.179713962,0.15065421,0.146205463,0.156163653,0.142974826,0.149149628,0.139311993,0.135896101
12,"DZA","Algeria",0.17095284,0.169042298,0.171724524,0.172687171,0.188770147,0.168826195,0.168440842,0.167742145,0.177792872,0.226885086,0.175587316,0.194813461,0.211894881,0.216244234,0.225640967,0.203819738,0.209900146
20,"AND","Andorra",0.199237965,0.184753349,0.181995638,0.179776867,0.17694273,0.168434832,0.161108476,0.160728489,0.158807956,0.160809662,0.154779973,0.151229719,0.15467979,0.151258442,0.151722962,0.146827911,0.144228032
24,"AGO","Angola",0.30500125,0.305631138,0.307262241,0.292938338,0.305754804,0.298551114,0.279678113,0.295971174,0.30697677,0.270720576,0.275154665,0.251493,0.283500499,0.279630354,0.240480162,0.234622889,0.254906549
660,"AIA","Anguilla",0.094625079,0.089319124,0.090502785,0.089350178,0.086626132,0.085007519,0.079780303,0.084847215,0.07960178,0.081986965,0.080154216,0.076639702,0.078439207,0.077701998,0.077167881,0.075369099,0.073464628
28,"ATG","Antigua and Barbuda",0.10968601,0.089303208,0.092384835,0.108100469,0.09058612,0.085248283,0.084355272,0.090783535,0.080758576,0.082621304,0.080975334,0.077459373,0.080024744,0.079523898,0.077454765,0.076052151,0.073961947
32,"ARG","Argentina",0.14640096,0.134546462,0.130186409,0.139560387,0.144497647,0.138692674,0.128290622,0.123369372,0.11930421,0.128349238,0.125068427,0.118744049,0.122199996,0.117881371,0.120633753,0.119175867,0.123670177
51,"ARM","Armenia",0.174514563,0.166088271,0.169227082,0.16692216,0.164244684,0.159608746,0.151634889,0.161319089,0.153843967,0.161216733,0.155925155,0.153803218,0.157901385,0.161880709,0.163020908,0.154124081,0.160551011
533,"ABW","Aruba",0.093179055,0.08970799,0.094496897,0.087355054,0.089860428,0.084601431,0.080747679,0.089944842,0.08484888,0.083884633,0.084698043,0.079318333,0.083698831,0.085384314,0.088207596,0.081371784,0.082268008
36,"AUS","Australia",0.11700859,0.108941706,0.108451698,0.110413059,0.101724241,0.091061774,0.094740489,0.090586083,0.089091753,0.087180019,0.092699799,0.088096139,0.08797462,0.087640756,0.0838975,0.082529674,0.138702287
