"code","iso","country","NOE.raw.2003","NOE.raw.2004","NOE.raw.2005","NOE.raw.2006","NOE.raw.2007","NOE.raw.2008","NOE.raw.2009","NOE.raw.2010","NOE.raw.2011","NOE.raw.2012","NOE.raw.2013","NOE.raw.2014","NOE.raw.2015","NOE.raw.2016","NOE.raw.2017","NOE.raw.2018","NOE.raw.2019"
4,"AFG","Afghanistan",0.002698882,0.002564347,0.003166962,0.00325003,0.003109909,0.00295484,0.002997925,0.003284742,0.003231113,0.003311682,0.003247262,0.003536974,0.00359323,0.00388048,0.004014797,0.003894539,0.004288922
8,"ALB","Albania",0.011609208,0.009981308,0.009465746,0.009928591,0.010320334,0.008764857,0.008442589,0.007533616,0.009180947,0.008991229,0.008019858,0.007709745,0.008447074,0.007512883,0.007411957,0.007386957,0.00703956
12,"DZA","Algeria",0.016219763,0.017601673,0.017436846,0.018510455,0.018423578,0.018826221,0.018667049,0.017884229,0.020501448,0.023463219,0.019237536,0.023743442,0.026795089,0.026515357,0.024496331,0.025423776,0.0252208
20,"AND","Andorra",0.013280542,0.0124198,0.012206761,0.012396761,0.012018952,0.012087531,0.011581683,0.01102936,0.011349968,0.010846833,0.010504828,0.010681402,0.010889482,0.010363867,0.0100991,0.009978986,0.009869409
24,"AGO","Angola",0.007788188,0.007628728,0.00731882,0.007219222,0.007436855,0.007091302,0.006644819,0.006798042,0.00715486,0.00608631,0.006222464,0.005667843,0.006198649,0.006430487,0.005250343,0.005433376,0.005902456
660,"AIA","Anguilla",0.000347027,0.00029967,0.000396854,0.000376125,0.000358916,0.0002867,0.000308357,0.000455127,0.000343928,0.000326196,0.000308111,0.000310458,0.00035139,0.000412066,0.000291784,0.000267832,0.00027636
28,"ATG","Antigua and Barbuda",0.001089943,0.00049467,0.000712412,0.001228881,0.000675995,0.000471876,0.000650426,0.0009537,0.000599385,0.000549479,0.000519847,0.000517555,0.000593815,0.000745685,0.000398797,0.000387306,0.000405194
32,"ARG","Argentina",0.010906731,0.010136178,0.011136182,0.011662968,0.011411481,0.011910449,0.011057825,0.010407604,0.00995686,0.010423846,0.010708928,0.010630078,0.010600651,0.010760264,0.009940609,0.01002214,0.010494538
51,"ARM","Armenia",0.008715521,0.007272927,0.007526339,0.007455532,0.007026564,0.007334349,0.006949446,0.007132165,0.007389933,0.00824209,0.008599841,0.009213187,0.009162178,0.010399647,0.01099423,0.009645527,0.01180021
533,"ABW","Aruba",0.001160515,0.001100042,0.001360152,0.001157431,0.001167508,0.001027503,0.001052191,0.001365197,0.001175279,0.001185388,0.001096897,0.001042661,0.001096328,0.001321241,0.001511205,0.001338867,0.001380041
36,"AUS","Australia",0.023517682,0.022802188,0.024557517,0.023460901,0.0220112,0.020938037,0.02186474,0.021068602,0.019996158,0.018966192,0.019687114,0.018989288,0.019268181,0.0175858,0.015100106,0.014269762,0.016062943
40,"AUT","Austria",0.024913835,0.021988281,0.022028008,0.022860571,0.020392703,0.020225743,0.02024396,0.020245198,0.020475045,0.018240858,0.018768936,0.018659401,0.019058575,0.018230546,0.01705119,0.016525635,0.016259031
31,"AZE","Azerbaijan",0.0064786,0.006261904,0.005982273,0.005895559,0.005539474,0.005299475,0.005407969,0.005567181,0.005039529,0.005443226,0.005416508,0.005502361,0.005608195,0.005889016,0.005523529,0.005342729,0.00582935
44,"BHS","Bahamas",0.001652772,0.00134678,0.001456891,0.00149531,0.00151271,0.001453031,0.001437622,0.001355074,0.001552744,0.001474426,0.001465732,0.001746847,0.001928863,0.00177555,0.000905364,0.000784216,0.000808765
48,"BHR","Bahrain",0.035375611,0.036925493,0.036040571,0.041372282,0.03709303,0.030786264,0.029900048,0.038181207,0.032299364,0.036253124,0.032937097,0.037970751,0.033843021,0.037154108,0.036287437,0.036354004,0.039550212
50,"BGD","Bangladesh",0.016639183,0.017256753,0.018304301,0.02090958,0.020064964,0.020131307,0.021114385,0.018766527,0.021825949,0.022101063,0.022429698,0.023710529,0.025404421,0.025963399,0.026065453,0.028179338,0.028980404
52,"BRB","Barbados",0.000452132,0.000447464,0.00064133,0.000498006,0.000475679,0.000456046,0.000430019,0.000646049,0.00054042,0.000492784,0.000475308,0.000428866,0.000477123,0.000651895,0.000358921,0.000331785,0.000369498
112,"BLR","Belarus",0.008925597,0.008125418,0.00904753,0.008069747,0.007438079,0.006478786,0.007834474,0.008355282,0.007473855,0.007953353,0.008057336,0.008600882,0.007750543,0.008643211,0.008360663,0.008719459,0.008230828
56,"BEL","Belgium",0.043976405,0.03872507,0.037902256,0.03511782,0.03569003,0.032870117,0.033055683,0.032963653,0.031661086,0.029304166,0.028834463,0.027274437,0.024965821,0.02630217,0.025175733,0.023638904,0.021751721
84,"BLZ","Belize",0.001454397,0.000884983,0.001761491,0.001040019,0.001242042,0.001144581,0.001058473,0.001106501,0.001565597,0.001113063,0.00139072,0.001152257,0.001162981,0.001176328,0.001310504,0.001007926,0.001277972
204,"BEN","Benin",0.004242154,0.004772544,0.004711339,0.004422303,0.005405028,0.005508796,0.004818822,0.004551404,0.004659555,0.004791287,0.004898965,0.004855747,0.00530408,0.005155575,0.005115431,0.005177604,0.005151776
60,"BMU","Bermuda",0.000909516,0.000816484,0.000816929,0.000782836,0.000731904,0.00078572,0.000816355,0.000740115,0.000793977,0.000818252,0.000789691,0.000834997,0.000936553,0.000958572,0.000485754,0.000478801,0.00049973
64,"BTN","Bhutan",0.006775248,0.006799028,0.007986597,0.008983143,0.007589852,0.007115164,0.007375153,0.007740003,0.00809459,0.0085543,0.008524605,0.009042927,0.009080258,0.009618883,0.010074233,0.010041876,0.01045444
68,"BOL","Bolivia",0.002173132,0.002302025,0.002393373,0.002194744,0.002414074,0.002359637,0.001962402,0.002520728,0.002245034,0.001826178,0.001809375,0.001793376,0.001772413,0.002236611,0.001910554,0.001868595,0.002054421
70,"BIH","Bosnia and Herzegovina",0.011496323,0.010405425,0.010749607,0.010200053,0.009741468,0.008915689,0.008419643,0.007757521,0.008752649,0.008133056,0.007960321,0.007887854,0.008423002,0.008220491,0.007946357,0.007569112,0.007695127
72,"BWA","Botswana",0.003227728,0.002948706,0.00314576,0.003458882,0.003245669,0.004306718,0.00347597,0.005140965,0.004674389,0.00348862,0.003439269,0.003439992,0.003323269,0.003273596,0.003752989,0.003674517,0.003805715
76,"BRA","Brazil",0.007927715,0.007772736,0.00828081,0.008377018,0.008361372,0.00808622,0.00792394,0.007961348,0.007830092,0.007828321,0.007693199,0.007974082,0.008221183,0.007879375,0.007966622,0.008101107,0.008598171
92,"VGB","British Virgin Islands",0.00034723,0.000301174,0.000392785,0.000371642,0.00037092,0.00028574,0.000307038,0.000443504,0.000330547,0.000337794,0.000320056,0.000338209,0.00038079,0.000431683,0.000247403,0.000239467,0.000251639
96,"BRN","Brunei Darussalam",0.007490616,0.006784876,0.007743875,0.007097176,0.00669214,0.006936377,0.008404043,0.007073371,0.007532237,0.0077352,0.007122526,0.007148522,0.007084205,0.007716701,0.00691847,0.007016567,0.007139165
100,"BGR","Bulgaria",0.018355672,0.016706298,0.016085573,0.016331071,0.015097922,0.014677017,0.014387982,0.013424064,0.014054539,0.013214384,0.012861386,0.012857121,0.013160351,0.012840842,0.013154254,0.012401364,0.012847029
854,"BFA","Burkina Faso",0.004126801,0.004175981,0.004105879,0.003880479,0.00402999,0.003920056,0.004048301,0.004342291,0.004002155,0.003684992,0.004011253,0.003980528,0.003792414,0.003950062,0.004131407,0.00417693,0.004015756
108,"BDI","Burundi",0.009771082,0.009258237,0.008989673,0.008505932,0.009076907,0.008946931,0.009217027,0.009451804,0.009115033,0.009540367,0.009786164,0.009917414,0.009901393,0.010037178,0.00933825,0.010102224,0.00961813
132,"CPV","Cabo Verde",0.000535424,0.000506676,0.00054974,0.0005592,0.000509119,0.000548567,0.000535541,0.000633427,0.000537968,0.000580378,0.000566765,0.000512635,0.00056474,0.000588402,0.000386079,0.000362723,0.000368693
116,"KHM","Cambodia",0.003620214,0.004322606,0.004610947,0.004574168,0.004958811,0.005097899,0.005995918,0.006098091,0.006081133,0.006167776,0.006891242,0.006752258,0.0068655,0.00699928,0.006414321,0.006999522,0.00724287
120,"CMR","Cameroon",0.003725036,0.003755369,0.003719897,0.003353491,0.003917135,0.00387457,0.003614385,0.003579516,0.003625546,0.003614347,0.003604659,0.003691022,0.003732585,0.004457424,0.0040913,0.003938647,0.004033868
124,"CAN","Canada",0.028026247,0.023705504,0.024705682,0.022019205,0.020216077,0.019365426,0.018217682,0.016884837,0.016272665,0.015900774,0.015539027,0.014898753,0.01554039,0.014163773,0.013928807,0.013204794,0.013148901
136,"CYM","Cayman Islands",0.000803063,0.000658716,0.000717793,0.000698569,0.000730925,0.000688838,0.000693725,0.000717931,0.000702879,0.000707972,0.000759925,0.000845927,0.000848193,0.000830472,0.000509811,0.000490769,0.000467114
140,"CAF","Central African Republic",0.005016098,0.004511574,0.004742756,0.004618156,0.005106939,0.005376879,0.004029593,0.003888719,0.004601678,0.003358814,0.003127476,0.004220644,0.004353414,0.004795308,0.004006798,0.004224527,0.003281321
148,"TCD","Chad",0.004112615,0.004181366,0.004086787,0.003867846,0.004191166,0.004005733,0.003717507,0.00374904,0.003605614,0.003751768,0.003613454,0.003305626,0.003057666,0.003835375,0.003222829,0.003379642,0.003102611
152,"CHL","Chile",0.027992601,0.026933115,0.026360266,0.026614958,0.027115145,0.027750967,0.026142077,0.0264759,0.02674042,0.026213517,0.028057547,0.028034284,0.027767194,0.029019059,0.027797762,0.027364783,0.028788702
156,"CHN","China",0.043599382,0.045757617,0.048853196,0.05270309,0.057331128,0.058485866,0.061222794,0.062398604,0.065460997,0.064814979,0.068144389,0.069344712,0.069539688,0.069725193,0.071488309,0.071157408,0.075560208
170,"COL","Colombia",0.007822549,0.007679195,0.007493764,0.007581573,0.007816896,0.007673343,0.007721803,0.007588226,0.007577376,0.007985667,0.008043348,0.00833171,0.008428836,0.008447703,0.008632784,0.008657739,0.008755678
174,"COM","Comoros",0.000293858,0.000319748,0.000416656,0.000474926,0.000390191,0.000399313,0.000435409,0.00041216,0.000448987,0.000455887,0.00050372,0.000502232,0.000591049,0.000572028,0.000411769,0.000427586,0.000427719
184,"COK","Cook Islands",4.98e-05,5.19e-05,5.33e-05,5.17e-05,5.45e-05,5.54e-05,5.1e-05,6.12e-05,6.13e-05,5.59e-05,5.29e-05,5.1e-05,5.1e-05,5.71e-05,3.81e-05,3.78e-05,3.62e-05
188,"CRI","Costa Rica",0.008147572,0.00748771,0.007963058,0.007742717,0.008231849,0.008029148,0.007734753,0.008074482,0.008471184,0.008464518,0.008490824,0.008097544,0.007855949,0.00877601,0.009149639,0.008546914,0.008293227
384,"CIV","Cote d'Ivoire",0.002658619,0.002349136,0.002522383,0.002391327,0.002853688,0.003115082,0.002638443,0.00244561,0.002711631,0.002579205,0.002663811,0.002194322,0.002539925,0.002834704,0.00227298,0.002402965,0.002371671
191,"HRV","Croatia",0.018366211,0.016836676,0.017201491,0.01635452,0.015693782,0.014875948,0.013421538,0.013013542,0.014476363,0.012930155,0.012909878,0.012358326,0.013832395,0.013207496,0.012302087,0.012022939,0.01186885
192,"CUB","Cuba",0.004065564,0.003503169,0.003830016,0.003776016,0.003726879,0.003567049,0.00354415,0.003260715,0.00347408,0.003497873,0.0034537,0.003624118,0.003631433,0.003351184,0.003153646,0.003188218,0.003395249
531,"CUW","Curacao",0.001698199,0.001672399,0.002173246,0.001723964,0.001738518,0.00158928,0.001560971,0.002157675,0.001851797,0.00179734,0.001657618,0.001537723,0.001622364,0.002014407,0.001851675,0.001635543,0.001740324
196,"CYP","Cyprus",0.007078295,0.006596848,0.006308142,0.005677473,0.006251314,0.00604763,0.006170966,0.006920486,0.005615985,0.005271381,0.005422837,0.005644485,0.005232841,0.005399553,0.003114038,0.002857888,0.002701043
