"code","iso","country","VOE.raw.2003","VOE.raw.2004","VOE.raw.2005","VOE.raw.2006","VOE.raw.2007","VOE.raw.2008","VOE.raw.2009","VOE.raw.2010","VOE.raw.2011","VOE.raw.2012","VOE.raw.2013","VOE.raw.2014","VOE.raw.2015","VOE.raw.2016","VOE.raw.2017","VOE.raw.2018","VOE.raw.2019"
4,"AFG","Afghanistan",0.014393424,0.012807645,0.013800935,0.013189061,0.014935585,0.014493166,0.014558793,0.014708465,0.015415423,0.015397494,0.016222556,0.016177912,0.016917805,0.013909087,0.014854775,0.014560942,0.01573218
8,"ALB","Albania",0.009877494,0.008232416,0.01072658,0.008936532,0.009511499,0.008602285,0.00838018,0.010094706,0.011734854,0.013255462,0.008815514,0.006937369,0.01037526,0.008680936,0.011358262,0.009845461,0.009952233
12,"DZA","Algeria",0.021906995,0.023832768,0.022435013,0.022297275,0.021200991,0.018099927,0.022868092,0.021356626,0.024433605,0.028499067,0.019239806,0.023930695,0.026076207,0.022782339,0.023570648,0.022983571,0.021838432
20,"AND","Andorra",0.012209743,0.011923047,0.008484252,0.011926181,0.008324364,0.008993102,0.011614078,0.009679332,0.011745707,0.011549995,0.009653464,0.008848392,0.010378706,0.011422021,0.012671594,0.01153245,0.011439649
24,"AGO","Angola",0.060219542,0.06143127,0.070824741,0.061171359,0.068911583,0.07483448,0.067318303,0.086273154,0.076828204,0.080401715,0.079420607,0.077752547,0.084481984,0.073057813,0.067114185,0.066560272,0.064237994
660,"AIA","Anguilla",0.001040811,0.00093983,0.001050498,0.001086916,0.000969426,0.000912635,0.000930722,0.001063434,0.000929888,0.000952072,0.000918468,0.000903355,0.000947537,0.000988955,0.000874878,0.000859157,0.000873317
28,"ATG","Antigua and Barbuda",0.002162769,0.001328675,0.001701413,0.002483542,0.001597238,0.001268644,0.00152524,0.002057935,0.001457524,0.001421554,0.001342879,0.001322272,0.001470078,0.001572847,0.001136817,0.001140514,0.001167207
32,"ARG","Argentina",0.066307027,0.061134164,0.037696486,0.056231497,0.055945673,0.036447615,0.045815101,0.038292121,0.042602297,0.04929732,0.04804628,0.043691627,0.048218852,0.033138464,0.035585737,0.043495351,0.043632845
51,"ARM","Armenia",0.009145247,0.011101117,0.009322096,0.01396614,0.011141671,0.010803281,0.008476303,0.013333747,0.010098533,0.010194224,0.009464286,0.012447499,0.012346116,0.012596469,0.016666937,0.011625727,0.011969136
533,"ABW","Aruba",0.002776902,0.00284516,0.003807713,0.003048371,0.003084175,0.002614517,0.002701591,0.003803952,0.003800581,0.003447533,0.003209049,0.002636636,0.002873394,0.004761551,0.004863388,0.003508664,0.003935468
36,"AUS","Australia",0.031334417,0.047049325,0.054358498,0.054042458,0.034739868,0.033910031,0.045183567,0.039459424,0.041589714,0.038959319,0.042619416,0.044572834,0.046889566,0.041897972,0.040292146,0.039118086,0.039326949
40,"AUT","Austria",0.010876153,0.008121237,0.007892173,0.006251197,0.007100413,0.009313238,0.009124026,0.007470225,0.008928364,0.009025275,0.008124469,0.007275027,0.009483318,0.008924418,0.009205725,0.008692076,0.008480451
31,"AZE","Azerbaijan",0.011372452,0.013509754,0.012676244,0.0182828,0.0180322,0.013131161,0.012965957,0.01985885,0.014417632,0.015068366,0.013533039,0.015327912,0.017062659,0.013478539,0.013944432,0.012580329,0.012218217
44,"BHS","Bahamas",0.002339189,0.002075251,0.002164152,0.002074017,0.002192495,0.002014029,0.002043307,0.002411378,0.002355186,0.002147428,0.00204996,0.002467548,0.002739783,0.002227128,0.001532853,0.00148303,0.001495708
48,"BHR","Bahrain",0.023340409,0.024301988,0.025110699,0.026796349,0.024922093,0.024574854,0.023260012,0.030551591,0.023831283,0.025867663,0.02524033,0.025864806,0.026373938,0.027850097,0.029908867,0.028659793,0.027446961
50,"BGD","Bangladesh",0.044292144,0.040438852,0.04096781,0.047410623,0.050963446,0.04168021,0.042920958,0.042149076,0.048200598,0.044064964,0.042715745,0.052379933,0.050824765,0.046047025,0.039046123,0.048593268,0.045437048
52,"BRB","Barbados",0.00096752,0.000954857,0.001079028,0.000993572,0.000966258,0.000959644,0.000925186,0.001053305,0.000995608,0.000984017,0.00097174,0.000911002,0.000960381,0.001052621,0.000894463,0.000862781,0.000894294
112,"BLR","Belarus",0.003943171,0.003761059,0.004052363,0.003791934,0.00356067,0.003381035,0.004023377,0.005066524,0.004078115,0.003875698,0.00434747,0.004494041,0.004598767,0.004192974,0.003238835,0.003955817,0.004064768
56,"BEL","Belgium",0.006348314,0.005125111,0.005432946,0.004665133,0.004222318,0.004352695,0.004907614,0.004593316,0.004282342,0.004093161,0.004388042,0.00424477,0.00394407,0.003869511,0.004052326,0.00387826,0.003790383
84,"BLZ","Belize",0.033256666,0.028113162,0.036820107,0.030454132,0.035180461,0.028282583,0.031591587,0.037576445,0.035997225,0.03658039,0.034877344,0.032441052,0.034395454,0.043027631,0.043668335,0.035176936,0.03450845
204,"BEN","Benin",0.029915188,0.029229333,0.027432882,0.027471328,0.025184806,0.026692715,0.023362141,0.027233683,0.026992905,0.027408208,0.027759933,0.030531302,0.034219184,0.048228261,0.044262995,0.035092554,0.034368663
60,"BMU","Bermuda",0.001100924,0.001057872,0.001093929,0.001064658,0.001018683,0.001009831,0.000972486,0.001013895,0.000981339,0.000992523,0.000960215,0.000977588,0.00099592,0.001025228,0.00090646,0.000886074,0.00089306
